ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,8.7%,"30d,3m,6m,6m+",57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,8.3%,"30d,3m,6m,6m+",47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,7.4%,"30d,3m,6m,6m+",38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,7.8%,"30d,3m,6m,6m+",45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,8.3%,"30d,3m,6m,6m+",37.3%,No
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,4.8%,"3m,6m,6m+",53.5%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,6.3%,"30d,3m,6m,6m+",31.5%,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,7.5%,"3m,6m,6m+",20.6%,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,6.0%,"30d,3m,6m,6m+",60.2%,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,7.4%,"3m,6m,6m+",30.4%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,6.5%,"30d,3m,6m,6m+",59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,6.5%,"3m,6m,6m+",70.4%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,7.5%,"3m,6m,6m+",66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,6.2%,"30d,3m,6m,6m+",47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,7.2%,"30d,3m,6m,6m+",38.6%,No
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,4.2%,"3m,6m,6m+",48.0%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,8.0%,"30d,3m,6m,6m+",65.5%,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,5.0%,"3m,6m,6m+",40.0%,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,6.2%,"3m,6m,6m+",51.0%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,7.4%,"3m,6m,6m+",43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,7.5%,"3m,6m,6m+",67.9%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,7.3%,"3m,6m,6m+",78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,7.8%,"30d,3m,6m,6m+",58.8%,No
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,6.9%,"6m,6m+",68.9%,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,8.2%,"3m,6m,6m+",65.3%,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,5.9%,"30d,3m,6m,6m+",62.2%,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,4.7%,"30d,3m,6m,6m+",61.3%,No
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,5.4%,"3m,6m,6m+",46.2%,No
29,Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,Medium,5.6%,"6m,6m+",19.4%,No
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,Hard,4.2%,6m+,34.0%,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,7.1%,"30d,3m,6m,6m+",44.7%,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,5.9%,"3m,6m,6m+",38.0%,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,7.7%,"3m,6m,6m+",44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,5.5%,"3m,6m,6m+",48.3%,No
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,4.4%,"6m,6m+",50.7%,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,6.5%,"6m,6m+",64.1%,No
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,6.6%,6m+,65.4%,No
38,Count and Say,https://leetcode.com/problems/count-and-say/,Medium,5.5%,6m+,62.3%,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,5.8%,"6m,6m+",76.1%,No
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,4.3%,"3m,6m,6m+",59.0%,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,7.2%,"6m,6m+",42.4%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,8.3%,"30d,3m,6m,6m+",66.8%,No
43,Multiply Strings,https://leetcode.com/problems/multiply-strings/,Medium,7.0%,"6m,6m+",43.5%,No
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,Hard,6.8%,"3m,6m,6m+",31.3%,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,5.6%,"3m,6m,6m+",42.4%,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,6.5%,"6m,6m+",81.6%,No
47,Permutations II,https://leetcode.com/problems/permutations-ii/,Medium,4.0%,"6m,6m+",62.9%,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,7.6%,"3m,6m,6m+",79.3%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,7.4%,"30d,3m,6m,6m+",72.2%,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,6.1%,"3m,6m,6m+",38.2%,No
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,6.4%,"30d,3m,6m,6m+",74.9%,No
52,N-Queens II,https://leetcode.com/problems/n-queens-ii/,Hard,3.3%,"6m,6m+",78.1%,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,8.0%,"30d,3m,6m,6m+",53.0%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,8.5%,"30d,3m,6m,6m+",56.1%,No
55,Jump Game,https://leetcode.com/problems/jump-game/,Medium,5.5%,"6m,6m+",40.5%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,7.8%,"30d,3m,6m,6m+",51.1%,No
57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,4.4%,"30d,3m,6m,6m+",44.7%,No
58,Length of Last Word,https://leetcode.com/problems/length-of-last-word/,Easy,2.9%,"3m,6m,6m+",58.3%,No
59,Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,Medium,6.0%,6m+,74.6%,No
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,Hard,3.4%,"6m,6m+",52.1%,No
61,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,5.6%,"3m,6m,6m+",41.2%,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,5.9%,6m+,66.5%,No
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,4.3%,"30d,3m,6m,6m+",44.1%,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,6.7%,"6m,6m+",67.8%,No
65,Valid Number,https://leetcode.com/problems/valid-number/,Hard,3.9%,6m+,22.6%,No
66,Plus One,https://leetcode.com/problems/plus-one/,Easy,4.1%,"3m,6m,6m+",49.5%,No
67,Add Binary,https://leetcode.com/problems/add-binary/,Easy,4.9%,"6m,6m+",57.6%,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,5.8%,"3m,6m,6m+",50.4%,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,5.4%,"6m,6m+",41.4%,No
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,6.3%,"30d,3m,6m,6m+",53.9%,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,6.1%,"3m,6m,6m+",50.0%,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,6.4%,"6m,6m+",60.1%,No
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,6.9%,"3m,6m,6m+",62.4%,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,6.2%,"3m,6m,6m+",53.5%,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,6.9%,"30d,3m,6m,6m+",69.1%,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,6.2%,"30d,3m,6m,6m+",46.9%,No
77,Combinations,https://leetcode.com/problems/combinations/,Medium,4.6%,6m+,74.2%,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,5.7%,"30d,3m,6m,6m+",82.0%,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,7.3%,"6m,6m+",46.8%,No
80,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Medium,3.9%,6m+,64.3%,No
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,4.6%,6m+,39.7%,No
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,Medium,5.0%,6m+,51.3%,No
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,4.7%,6m+,56.2%,No
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,6.2%,"3m,6m,6m+",49.3%,No
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,6.1%,"3m,6m,6m+",58.1%,No
86,Partition List,https://leetcode.com/problems/partition-list/,Medium,5.2%,6m+,60.6%,No
87,Scramble String,https://leetcode.com/problems/scramble-string/,Hard,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,7.7%,"30d,3m,6m,6m+",54.4%,No
89,Gray Code,https://leetcode.com/problems/gray-code/,Medium,12.5%,6m+,64.0%,No
90,Subsets II,https://leetcode.com/problems/subsets-ii/,Medium,4.1%,"3m,6m,6m+",60.9%,No
91,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,6.1%,"6m,6m+",37.6%,No
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,6.3%,"3m,6m,6m+",51.0%,No
93,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,7.2%,"3m,6m,6m+",55.3%,No
94,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,Easy,5.4%,"6m,6m+",79.7%,No
95,Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii/,Medium,12.5%,6m+,61.9%,No
96,Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees/,Medium,4.2%,6m+,63.3%,No
97,Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,5.1%,"3m,6m,6m+",43.5%,No
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,7.0%,"6m,6m+",35.3%,No
99,Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree/,Medium,6.6%,"3m,6m,6m+",58.7%,No
100,Same Tree,https://leetcode.com/problems/same-tree/,Easy,3.8%,"30d,3m,6m,6m+",66.6%,No
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,Easy,5.4%,"30d,3m,6m,6m+",60.7%,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,6.2%,"30d,3m,6m,6m+",72.2%,No
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,7.9%,"30d,3m,6m,6m+",63.1%,No
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,4.5%,"6m,6m+",77.9%,No
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,7.0%,"6m,6m+",68.3%,No
